index	ID	run	img_pair	choice	side	outcome	matched	rt		high_rewards	low_reward	high_accuracy	total			
38	2	run02	CD	C	1	reward	matched	1.590593		1			10			
42	2	run02	CD	C	2	reward	matched	1.603275		1			11			
44	2	run02	CD	D	2	punish	matched	1.583413		1			12			
45	2	run02	CD	C	1	reward	matched	1.600834		1			13			
47	2	run02	CD	C	1	reward	matched	1.59812		1			14			
56	2	run03	CD	D	1	reward	mismatched	1.598271			1		15			
62	2	run03	CD	D	1	punish	matched	1.59307		1			16			
63	2	run03	CD	D	1	punish	matched	1.592001		1			17			
66	2	run03	CD	C	2	reward	matched	1.605938		1			18			
72	2	run03	CD	C	1	reward	matched	1.581613		1			19			
79	2	run04	CD	C	1	reward	matched	1.602498		1			20			
83	2	run04	CD	D	1	punish	matched	1.614641		1			21			
84	2	run04	CD	C	1	reward	matched	1.616867		1			22			
89	2	run04	CD	C	1	punish	mismatched	1.615469			1		23			
93	2	run04	CD	C	1	reward	matched	1.620022		1			24			
97	2	run04	CD	D	2	punish	matched	1.618056		1			25			
104	2	run04	CD	D	1	punish	matched	1.618875		1			26			
1	2	run01	EF	Miss	Miss	Miss	Miss	Miss				E_rewards	F_rewards	total_rein	E	F
2	2	run01	EF	E	2	reward	matched	1.600823		1	0	1	0	1	1	0
5	2	run01	EF	E	1	reward	matched	1.613808		1	0	2	0	2	1	0
6	2	run01	EF	E	1	reward	matched	1.597129		1	0	3	0	3	1	0
7	2	run01	EF	E	1	reward	matched	1.59576		1	0	4	0	4	1	0
11	2	run01	EF	F	2	reward	mismatched	1.592462		0	1	4	1	5	0.8	0.2
14	2	run01	EF	E	2	reward	matched	1.606709		1	0	5	1	6	0.833333333	0.166666667
15	2	run01	EF	F	1	reward	mismatched	1.60519		0	1	5	2	7	0.714285714	0.285714286
20	2	run01	EF	F	1	reward	mismatched	1.60006		0	1	5	3	8	0.625	0.375
21	2	run01	EF	F	2	punish	matched	1.616499		1	0	6	3	9	0.666666667	0.333333333
27	2	run02	EF	E	1	reward	matched	1.584632		1	0	7	3	10	0.7	0.3
28	2	run02	EF	E	2	punish	mismatched	1.599823		0	1	7	4	11	0.636363636	0.363636364
30	2	run02	EF	E	2	reward	matched	1.582101		1	0	8	4	12	0.666666667	0.333333333
32	2	run02	EF	E	1	punish	mismatched	1.595786		0	1	8	5	13	0.615384615	0.384615385
34	2	run02	EF	F	1	punish	matched	1.610242		1	0	9	5	14	0.642857143	0.357142857
35	2	run02	EF	E	1	reward	matched	1.576812		1	0	10	5	15	0.666666667	0.333333333
39	2	run02	EF	E	2	reward	matched	1.571928		1	0	11	5	16	0.6875	0.3125
40	2	run02	EF	F	2	punish	matched	1.587503		1	0	12	5	17	0.705882353	0.294117647
41	2	run02	EF	F	2	punish	matched	1.604061		1	0	13	5	18	0.722222222	0.277777778
43	2	run02	EF	F	1	reward	mismatched	1.60223		0	1	13	6	19	0.684210526	0.315789474
46	2	run02	EF	E	2	punish	mismatched	1.616211		0	1	13	7	20	0.65	0.35
52	2	run02	EF	E	1	reward	matched	1.591834		1	0	14	7	21	0.666666667	0.333333333
53	2	run03	EF	F	1	punish	matched	1.568209		1	0	15	7	22	0.681818182	0.318181818
54	2	run03	EF	F	2	punish	matched	1.601069		1	0	16	7	23	0.695652174	0.304347826
55	2	run03	EF	E	1	reward	matched	1.615572		1	0	17	7	24	0.708333333	0.291666667
59	2	run03	EF	E	1	punish	mismatched	1.579457		0	1	17	8	25	0.68	0.32
65	2	run03	EF	E	1	reward	matched	1.589866		1	0	18	8	26	0.692307692	0.307692308
69	2	run03	EF	E	1	punish	mismatched	1.603007		0	1	18	9	27	0.666666667	0.333333333
70	2	run03	EF	E	2	reward	matched	1.600307		1	0	19	9	28	0.678571429	0.321428571
71	2	run03	EF	E	1	reward	matched	1.583665		1	0	20	9	29	0.689655172	0.310344828
75	2	run03	EF	E	1	reward	matched	1.596802		1	0	21	9	30	0.7	0.3
78	2	run03	EF	E	1	punish	mismatched	1.610397		0	1	21	10	31	0.677419355	0.322580645
80	2	run04	EF	F	2	punish	matched	1.60334		1	0	22	10	32	0.6875	0.3125
81	2	run04	EF	F	1	punish	matched	1.601036		1	0	23	10	33	0.696969697	0.303030303
82	2	run04	EF	F	1	punish	matched	1.615704		1	0	24	10	34	0.705882353	0.294117647
85	2	run04	EF	E	2	reward	matched	1.629171		1	0	25	10	35	0.714285714	0.285714286
86	2	run04	EF	E	1	reward	matched	1.611662		1	0	26	10	36	0.722222222	0.277777778
88	2	run04	EF	E	2	punish	mismatched	1.611505		0	1	26	11	37	0.702702703	0.297297297
90	2	run04	EF	E	1	punish	mismatched	1.626605		0	1	26	12	38	0.684210526	0.315789474
91	2	run04	EF	F	2	reward	mismatched	1.610764		0	1	26	13	39	0.666666667	0.333333333
94	2	run04	EF	E	1	reward	matched	1.614071		1	0	27	13	40	0.675	0.325
95	2	run04	EF	F	2	punish	matched	1.6209		1	0	28	13	41	0.682926829	0.317073171
98	2	run04	EF	E	1	punish	mismatched	1.61367		0	1	28	14	42	0.666666667	0.333333333
99	2	run04	EF	E	2	reward	matched	1.608034		1	0	29	14	43	0.674418605	0.325581395
100	2	run04	EF	F	1	reward	mismatched	1.626157		0	1	29	15	44	0.659090909	0.340909091
101	2	run04	EF	F	1	reward	mismatched	1.616297		0	1	29	16	45	0.644444444	0.355555556
103	2	run04	EF	E	1	punish	mismatched	1.600952		0	1	29	17	46	0.630434783	0.369565217
